airline_code;airline;airline_row;aircraft_id;aircraft_type;source_sheet;source_row
LH;Lufthansa;Lufthansa;BOE-787-9;Boeing 787-9 Dreamliner;Lufthansa;41
LH;Lufthansa;Lufthansa;BOM-CRJ100;Bombardier CRJ-100;Lufthansa;42
LH;Lufthansa;Lufthansa;BOM-CRJ200;Bombardier CRJ-200;Lufthansa;43
LH;Lufthansa;Lufthansa;BOM-CRJ700;Bombardier CRJ-700;Lufthansa;44
LH;Lufthansa;Lufthansa CityLine;BOM-CRJ900;Bombardier CRJ-900;Lufthansa;45
LH;Lufthansa;Lufthansa;BAE-146-200;British Aerospace 146-200;Lufthansa;46
LH;Lufthansa;Lufthansa;CON-CV340;Convair CV-340-80;Lufthansa;47
LH;Lufthansa;Lufthansa CityLine;DHC-DHC8-100;De Havilland Canada DHC-8-100;Lufthansa;48
LH;Lufthansa;Lufthansa;DOR-DOX;Dornier Do X;Lufthansa;49
LH;Lufthansa;Lufthansa;DOU-DC8-50;Douglas DC-8-50;Lufthansa;50
LH;Lufthansa;Lufthansa Regional;EMB-E190;Embraer ERJ-190;Lufthansa;51
LH;Lufthansa;Lufthansa;EMB-E195;Embraer ERJ-195;Lufthansa;52
LH;Lufthansa;Lufthansa;FOW-FW200;Focke-Wulf Fw 200;Lufthansa;53
LH;Lufthansa;Lufthansa;FOK-F27;Fokker F27-400 Friendship;Lufthansa;54
LH;Lufthansa;Team Lufthansa;FOK-F50;Fokker 50;Lufthansa;55
LH;Lufthansa;Lufthansa;FOK-F100;Fokker 100;Lufthansa;56
LH;Lufthansa;Lufthansa;JUN-JU52-3M;Junkers Ju 52/3m;Lufthansa;57
LH;Lufthansa;Lufthansa;LOC-L1049;Lockheed L-1049G Super Constellation;Lufthansa;58
LH;Lufthansa;Lufthansa;LOC-L1649;Lockheed L-1649A Starliner;Lufthansa;59
LH;Lufthansa;Lufthansa;MCD-DC10-30;McDonnell Douglas DC-10-30;Lufthansa;60
LH;Lufthansa;Lufthansa Cargo;MCD-MD11F;McDonnell Douglas MD-11F;Lufthansa;61
LH;Lufthansa;Lufthansa;VIC-Viscount-800;Vickers Viscount 814;Lufthansa;62
LX;Swiss;Swiss;AIB-A220-100;Airbus A220-100;Swiss;4
LX;Swiss;Swiss;AIB-A220-300;Airbus A220-300;Swiss;5
LX;Swiss;Swiss;AIB-A310-200;Airbus A310-200;Swiss;6
LX;Swiss;Swiss;AIB-A319;Airbus A319-100;Swiss;7
LX;Swiss;Swiss;AIB-A320-200;Airbus A320-200;Swiss;8
LX;Swiss;Swiss;AIB-A320-200;Airbus A320-200;Swiss;9
LX;Swiss;Swiss;AIB-A320-200-SL;Airbus A320-200 (Sharklets);Swiss;10
LX;Swiss;Swiss;AIB-A320-neo;Airbus A320neo;Swiss;11
LX;Swiss;Swissair;AIB-A321-100;Airbus A321-100;Swiss;12
LX;Swiss;Swiss;AIB-A321-200-SL;Airbus A321-200 (Sharklets);Swiss;13
LX;Swiss;Swiss;AIB-A321-neo;Airbus A321neo;Swiss;14
LX;Swiss;Edelweiss;AIB-A330-200;Airbus A330-200;Swiss;15
LX;Swiss;Swiss;AIB-A330-300;Airbus A330-300;Swiss;16
LX;Swiss;Swiss;AIB-A340-300;Airbus A340-300;Swiss;17
LX;Swiss;Swiss;AIB-A350-900;Airbus A350-900;Swiss;18
LX;Swiss;Swissair;BOE-747-200;Boeing 747-200;Swiss;19
LX;Swiss;Swiss;BOE-777-300ER;Boeing 777-300ER;Swiss;20
LX;Swiss;Swiss;BAE-146-200;British Aerospace Avro RJ85;Swiss;21
LX;Swiss;Swiss;BAE-146-300;British Aerospace Avro RJ100;Swiss;22
LX;Swiss;Swiss;CON-CV880;Convair CV-880 Golden Arrow;Swiss;23
LX;Swiss;Swissair;CON-CV990;Convair CV-990 Coronado;Swiss;24
LX;Swiss;Swiss;DHC-DHC8-400;De Havilland Canada DHC-8-400;Swiss;25
LX;Swiss;Swissair;DOU-DC6-B;Douglas DC-6B;Swiss;26
LX;Swiss;Swissair;DOU-DC8-30;Douglas DC-8-32;Swiss;27
LX;Swiss;Swissair;DOU-DC8-50;Douglas DC-8-53;Swiss;28
LX;Swiss;Crossair;EMB-ERJ145;Embraer ERJ-145;Swiss;29
LX;Swiss;Swiss;FOK-F100;Fokker 100;Swiss;30
LX;Swiss;Swiss;MCD-DC9-30;McDonnell Douglas DC-9-30;Swiss;31
LX;Swiss;Swissair;MCD-MD11;McDonnell Douglas MD-11;Swiss;32
LX;Swiss;Swiss;MCD-MD81;McDonnell Douglas MD-81;Swiss;33
LX;Swiss;Swiss;SAB-2000;Saab 2000;Swiss;34
LX;Swiss;Swiss;SAB-340;Saab 340;Swiss;35
BT;Air Baltic;AirBaltic;AIB-A220-300;Airbus A220-300;AirBaltic;4
BT;Air Baltic;Air Baltic;AIB-A319;Airbus A319-100;AirBaltic;5
BT;Air Baltic;Air Baltic;AIB-A320-200;Airbus A320-200;AirBaltic;6
BT;Air Baltic;Air Baltic;BOE-737-300;Boeing 737-300;AirBaltic;7
BT;Air Baltic;Air Baltic;BOE-737-500;Boeing 737-500;AirBaltic;8
BT;Air Baltic;Air Baltic;BOE-757-200;Boeing 757-200;AirBaltic;9
BT;Air Baltic;Air Baltic;BAE-146-200;British Aerospace 146-200;AirBaltic;10
BT;Air Baltic;Air Baltic;BAE-146-100;British Aerospace Avro RJ70;AirBaltic;11
BT;Air Baltic;Air Baltic;DHC-DHC8-400;De Havilland Canada DHC-8-400;AirBaltic;12
BT;Air Baltic;Air Baltic;FOK-F50;Fokker 50;AirBaltic;13
BT;Air Baltic;Air Baltic;SAB-340;Saab 340;AirBaltic;14
AB;Air Berlin;Air Berlin;ATR72-200;ATR 72;AirBerlin;4
AB;Air Berlin;Air Berlin;AIB-A319;Airbus A319-100;AirBerlin;5
AB;Air Berlin;Air Berlin;AIB-A320-200;Airbus A320-200;AirBerlin;6
AB;Air Berlin;Air Berlin;AIB-A320-200;Airbus A320-200;AirBerlin;7
AB;Air Berlin;Air Berlin;AIB-A320-200-SL;Airbus A320-200;AirBerlin;8
AB;Air Berlin;Air Berlin;AIB-A321-200;Airbus A321-200;AirBerlin;9
AB;Air Berlin;Air Berlin;AIB-A321-200-SL;Airbus A321-200 (Sharklets);AirBerlin;10
AB;Air Berlin;Air Berlin;AIB-A330-200;Airbus A330-200;AirBerlin;11
AB;Air Berlin;Air Berlin;AIB-A330-300;Airbus A330-300;AirBerlin;12
AB;Air Berlin;Air Berlin;BOE-737-300;Boeing 737-300;AirBerlin;13
AB;Air Berlin;Air Berlin;BOE-737-400;Boeing 737-400;AirBerlin;14
AB;Air Berlin;Air Berlin;BOE-737-500;Boeing 737-500;AirBerlin;15
AB;Air Berlin;Air Berlin;BOE-737-700;Boeing 737-700;AirBerlin;16
AB;Air Berlin;Air Berlin;BOE-737-700-WL;Boeing 737-700 (Winglets);AirBerlin;17
AB;Air Berlin;Air Berlin;BOE-737-800;Boeing 737-800;AirBerlin;18
AB;Air Berlin;Air Berlin;BOE-737-800-WL;Boeing 737-800 (Winglets);AirBerlin;19
