model_id;manufacturer;airline_code;airline;airline_row;aircraft_id;aircraft_type;registration;livery;parent_livery;Zusatzinfo;aircraft_name;livery_note;extra_info;model_extra;special_note;Shop;Shop_url;Preis;Versandkosten;Eigenfluege;Postkarte;postkarte_info;postkarte_url;Preis_Postkarte;Foto;logo_id;vorhanden;angekommen;bestellt_am;source_sheet;source_row
SO013;Dragon Wings;SO;Sonstige Airlines;United States Air Force;BOE-YAL1;Boeing YAL-1 Airborne Laser;00-0001;;;L:U.S. Air Force;;U.S. Air Force;;;;Ebay Felindre Diecast;https://www.ebay.de/itm/297708607526?_skw=1%2F400&itmmeta=01K8TKQVTFNFET2J6P9Z4A3PRZ&hash=item4550d0d826%3Ag%3A1vsAAeSw2xto-4A0&LH_Auction=1;27,06;2,94;;x;x;;;https://en.wikipedia.org/wiki/Boeing_YAL-1#/media/File:YAL-1A_Airborne_Laser_unstowed_crop.jpg;US_UAF;Wahr;2025-11-05;;Sonstige;27
SO019;Gemini Jets;SO;Sonstige Airlines;United States Navy;BOE-C40A;Boeing C-40A Clipper;RY-831;;;I:B737-700 | L:UNITED STATES NAVY;;UNITED STATES NAVY;B737-700;;;MW-Moba;https://mw-moba.de/Produkt/boeing-c-40-united-states-navy-ry-831-gemini-jets-gjusn295-1400/;15;0,33;;x;x;;;https://www.airhistory.net/photo/425749/165831/5831;US_NAV;Wahr;;;Sonstige;28
SO020;Patriot Model;SO;Sonstige Airlines;United States Army;BOE-767-AOA;Boeing 767-200 Airborne Optical Adjunct;N767BA;;;I:US Army | I:Prototyp;;;US Army | Prototyp;;;Aviationmegastore;https://www.aviationmegastore.com/de/modelle/boeing-767-200-airborne-optical-adjunct--us-army-prototype-n767ba-patriot-model-pt-400-015-214215.html;60,35;14,17;;I:beim Modell vorhanden;beim Modell vorhanden;;0;https://www.aussieairliners.org/b-767i/22233-001/n767ba.html;US_ARM;Wahr;2025-12-23;;Sonstige;29
SO022;Herpa Wings;SO;Sonstige Airlines;German Cargo;BOE-707-330C;Boeing 707-330C;D-ABUA;;;I:German Cargo;;;German Cargo;;;Ebay Kontorbuer;https://www.ebay.de/itm/257315910925;15;1,62;;U:https://jjpostcards.com/de/ansichtskarten/26246-german-cargo-b707.html;;https://jjpostcards.com/de/ansichtskarten/26246-german-cargo-b707.html;0,85;https://www.airhistory.net/photos/0641225.jpg?m=1705010149;FX_GEC;Wahr;2026-01-27;;Sonstige;32
SO007;Herpa Wings;SO;Sonstige Airlines;Schweizer Luftwaffe (Swiss Air Force);JUN-JU52-3M;Junkers JU-52;A-703;;;I:Tante Ju;;;Tante Ju;;;2dehands Julien Lempereur;https://www.2dehands.be/u/jawan/33093180/;21;11;;U:https://jjpostcards.com/de/ansichtskarten/9756-luftwaffe-schweiz-ju-52.html;;https://jjpostcards.com/de/ansichtskarten/9756-luftwaffe-schweiz-ju-52.html;1,35;https://www.airhistory.net/photo/642702/A-703;CH_SUI;Wahr;2025-05-27;;Sonstige;33
SO003;Aeroclassics;SO;Sonstige Airlines;Arkia - Israeli Airlines;VIC-Viscount-800;Vickers Viscount 800;4X-AVF;;;;;;;;;Ebay mali_1123;;31,6;;;U:https://jjpostcards.com/de/ansichtskarten/3132-arkia-viscount.html;;https://jjpostcards.com/de/ansichtskarten/3132-arkia-viscount.html;0,85;https://live.staticflickr.com/65535/48996086863_0676291e4e_b.jpg;IZ_AIZ;Wahr;;;Sonstige;34
SO023;JC Wings;SO;Sonstige Airlines;Air Belgium;AIB-A330-900neo;Airbus A330-900neo;OO-ABG;;;;;;;;;Ebay bigbird1946;https://www.ebay.de/itm/336405897835;26,5;3,54;;U:https://jjpostcards.com/de/ansichtskarten/43010-air-belgium-a330neo.html;;https://jjpostcards.com/de/ansichtskarten/43010-air-belgium-a330neo.html;1,35;https://www.airfleets.net/photo/Air-Belgium_OO-ABG_97032_a330.htm;KF_ABB;Wahr;2026-02-13;;Sonstige;35
SO024;JC Wings;SO;Sonstige Airlines;Virgin Orbit;BOE-747-400-VO;Boeing 747-400 LauncherOne Carrier Aircraft;N744VG;;;L:Virgin Orbit | I:Flight Test | M:with Rocket | N:Cosmic Girl;Cosmic Girl;Virgin Orbit;Flight Test;with Rocket;;Ebay bigbird1946;https://www.ebay.de/itm/336412101117;20,5;2,74;;;;;;http://ocdn.eu/images/pulscms/NDU7MDA_/a1b6ec02-cea2-4aab-8911-311b9d4c8293.jpeg;US_OBT;Wahr;2026-02-13;;Sonstige;36
ORD-SO-37;NG Models;SO;Sonstige Airlines;COMAC;COM-C919-100;Comac C919-100;B-001J;;;L:Factory House Colors | I:Erstes Flugzeug, das komplett in China entwickelt und gefertigt wurde;;Factory House Colors;Erstes Flugzeug, das komplett in China entwickelt und gefertigt wurde;;;Ebay bigbird1946;https://www.ebay.de/itm/336426829170;23,01;6,05;;I:andere Livery | U:https://jjpostcards.com/de/ansichtskarten/43083-china-eastern-c919.html;andere Livery;https://jjpostcards.com/de/ansichtskarten/43083-china-eastern-c919.html;1,35;https://www.planespotters.net/photo/1470415/b-001j-comac-comac-c919-100er;B_COM;Falsch;;2026-02-15;Sonstige;37
SO015;Dragon Wings;SO;Sonstige Airlines;NASA;ROC-OV102;Space Shuttle Orbiter Columbia;OV-102;;;;;;;;;MW-Moba;https://mw-moba.de/Produkt/space-shuttle-orbiter-columbia-nasa-ov-102-dragon-wings-55532-1400/;60;1,48;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/40969-NASA-Space-Shuttle.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/40969-NASA-Space-Shuttle.html;1,35;https://cdn2.picryl.com/photo/1991/06/14/sts-40-columbia-ov-102-lands-on-concrete-runway-22-at-eafb-california-5c3a64-1024.jpg;US_NAS;Wahr;2025-11-12;;Sonstige;46
SO010;Herpa Wings;SO;Sonstige Airlines;Buran Space Shuttle;BUR-OK1K1;Buran Space Orbiter OK-1K1;OK-GLI;;;;;;;;;Ebay DS AutoModelle;;14,79;8,9;;;;;;https://aero-bg.com/2020/11/10/35-godini-ot-parviya-polet-na-bts-002/;SU_BUR;Wahr;2025-10-27;;Sonstige;47
SO008;JC Wings;SO;Sonstige Airlines;Virgin Galactic;SCA-SS2;SpaceShipTwo;N348MS;;;I:Composites 348 White Knight II (N348MS & N202VG);;;Composites 348 White Knight II (N348MS & N202VG);;;Flight-Shop.de;https://www.flight-shop.de/;34,24;3,85;;;;;;https://de.wikipedia.org/wiki/SpaceShipTwo#/media/Datei:SS2_and_VMS_Eve.jpg;US_VGX;Wahr;2025-06-26;;Sonstige;48
ORD-SO-49;Patriot Model;SO;Sonstige Airlines;NASA;BOE-747-SCA;Boeing 747 Shuttle Carrier Aircraft;N905NA;;;;;;;;;Aviation Center Berlin;https://www.aviation-center-berlin.de/p/PT-400-023;98,77;;Vorbestellung;U:https://jjpostcards.com/de/ansichtskarten/13106-nasa-b747-space-shutlle.html;;https://jjpostcards.com/de/ansichtskarten/13106-nasa-b747-space-shutlle.html;1,35;https://www.planespotters.net/photo/313229/n905na-nasa-boeing-747-123;US_NAS;Falsch;;2025-12-29;Sonstige;49
SM001;Limox Wings;SM;Sondermaße;Austrian;VIC-Viscount-700;Vickers Viscount 779;OE-LAB;;;I:erstes AUA-Flugzeug;;;erstes AUA-Flugzeug;;'1:500;Kleinanzeigen Steffi;;19;7,5;;;;;;https://media.abpic.co.uk/pictures/full_size_0495/1751037-medium.jpg;OS_AUA;Wahr;2025-05-26;;Sondermaß;4
SM002;Corgi;SM;Sondermaße;Pan Am;BOE-314;Boeing 314 Clipper;NC18605;;;N:Dixie Clipper;Dixie Clipper;;;;'1:350;Leboncoin pat33600;;17;6,95;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/3024-pan-american-boeing-314.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/3024-pan-american-boeing-314.html;1,35;https://www.clipperflyingboats.com/wp-content/images/314-138-laguardia1.jpg;PA_PAA;Wahr;2025-06-02;;Sondermaß;5
SM003;Sky-Stars;SM;Sondermaße;Lufthansa;DOR-DOX;Dornier Do X;D-1929;;;;;;;;'1:350;Ebay herzlichst-willkommen;https://www.ebay.de/itm/205689921146;25;14,49;;U:https://jjpostcards.com/de/ansichtskarten/40001-Lufthansa-Dornier-Do-X.html;;https://jjpostcards.com/de/ansichtskarten/40001-Lufthansa-Dornier-Do-X.html;1,35;https://de.wikipedia.org/wiki/Dornier_Do_X#/media/Datei:Dornier_Do-X_(15136810048).jpg;LH_DLH;Wahr;2025-10-10;;Sondermaß;6
