model_id;manufacturer;airline_code;airline;airline_row;aircraft_id;aircraft_type;registration;livery;parent_livery;Zusatzinfo;aircraft_name;livery_note;extra_info;model_extra;special_note;Shop;Shop_url;Preis;Versandkosten;Eigenfluege;postcards_raw;postkarte_info;postkarte_url;Preis_Postkarte;Foto;Photo_Source_Url;Photo_Image_Url;Photo_Credit;logo_id;vorhanden;angekommen;bestellt_am;Wunsch;Wunsch_Prio;source_sheet;source_row
OS018;JC Wings;OS;Austrian;Austrian;BOE-767-300;Boeing 767-300;OE-LAW;AUA-2018-NEW;;N:China;China;;;;;MW-Moba;;44,5;4,25;;U:https://jjpostcards.com/de/ansichtskarten/37600-Austrian-B767.html;;https://jjpostcards.com/de/ansichtskarten/37600-Austrian-B767.html;0,85;https://www.jetphotos.com/photo/11688863;https://www.jetphotos.com/photo/11688863;https://cdn.jetphotos.com/full/6/743469_1743915018.jpg;Alexandru Chirila;OS_AUA;Wahr;2025-06-20;;FALSCH;;AUA;21
OS009;JC Wings;OS;Austrian;Austrian;BOE-777-200;Boeing 777-200;OE-LPD;AUA-2003-BLUEBELLY;;N:Spirit of Austria;Spirit of Austria;;;;;MW-Moba;https://mw-moba.de/produkt-kategorie/1400/;49,5;5,5;;I:Bemalung nicht ganz exakt | U:https://jjpostcards.com/de/ansichtskarten/42987-austrian-b777.html;Bemalung nicht ganz exakt;https://jjpostcards.com/de/ansichtskarten/42987-austrian-b777.html;1,35;https://www.planespotters.net/photo/1084147/oe-lpd-austrian-airlines-boeing-777-2z9er;https://www.planespotters.net/photo/1084147/oe-lpd-austrian-airlines-boeing-777-2z9er;https://cdn.plnspttrs.net/22335/oe-lpd-austrian-airlines-boeing-777-2z9er_PlanespottersNet_1084147_366719f6c8_o.jpg;Māuruuru;OS_AUA;Wahr;;;FALSCH;;AUA;22
OS017;JC Wings;OS;Austrian;Austrian;BOE-787-9;Boeing 787-9 Dreamliner;OE-LPM;AUA-2018-NEW;;M:Flaps down | N:Schönbrunn Palace;Schönbrunn Palace;;;Flaps down;;Kleinanzeigen Dan Segal;;47;5,22;;U:https://jjpostcards.com/de/suche?controller=search&s=OE-LPM;;https://jjpostcards.com/de/suche?controller=search&s=OE-LPM;1,35;https://www.planespotters.net/photo/1644019/oe-lpm-austrian-airlines-boeing-787-9-dreamliner;https://www.planespotters.net/photo/1644019/oe-lpm-austrian-airlines-boeing-787-9-dreamliner;https://cdn.plnspttrs.net/05026/oe-lpm-austrian-airlines-boeing-787-9-dreamliner_PlanespottersNet_1644019_01caa163f7_o.jpg;Marcel Rudolf;OS_AUA;Wahr;2025-06-16;;FALSCH;;AUA;23
OS008;Gemini Jets;OS;Austrian;Austrian Arrows;DHC-DHC8-400;De Havilland Canada DHC-8-400;OE-LGI;AUA-2003-BLUEBELLY;;I:Austrian Arrows | N:Eisenstadt;Eisenstadt;;Austrian Arrows;;;Ebay arniestrains-2;;95,01;;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/19569-austrian-arrows-dhc-8.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/19569-austrian-arrows-dhc-8.html;1,85;https://www.planespotters.net/photo/215733/oe-lgi-austrian-arrows-bombardier-dhc-8-402q-dash-8;https://www.planespotters.net/photo/215733/oe-lgi-austrian-arrows-bombardier-dhc-8-402q-dash-8;https://cdn.plnspttrs.net/32572/oe-lgi-austrian-arrows-bombardier-dhc-8-402-dash-8-q400_PlanespottersNet_215733_269433d370_o.jpg;Jürgen;OS_ARR;Wahr;;;FALSCH;;AUA;25
OS013;Aeroclassics;OS;Austrian;Austrian;MCD-DC9-30;Douglas DC-9-30;OE-LDA;AUA-1980-REDARROW;;N:Niederösterreich;Niederösterreich;;;;;Ebay airman3;;117,22;;;U:https://jjpostcards.com/de/ansichtskarten/22566-austrian-dc-9.html;;https://jjpostcards.com/de/ansichtskarten/22566-austrian-dc-9.html;1,35;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32;https://cdn.plnspttrs.net/29802/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32_PlanespottersNet_415265_e8b9b9f97f_o.jpg;Martin Oswald;OS_AUA;Wahr;;;FALSCH;;AUA;28
OS014;Aeroclassics;OS;Austrian;Austrian;MCD-DC9-50;Douglas DC-9-50;OE-LDL;AUA-1980-REDARROW;;N:Linz;Linz;;;;;https://www.avworld.ca/;;65;15,44;;U:https://jjpostcards.com/de/ansichtskarten/40694-Austrian-DC-9.html;;https://jjpostcards.com/de/ansichtskarten/40694-Austrian-DC-9.html;1,35;https://www.planespotters.net/photo/491499/oe-ldl-austrian-airlines-mcdonnell-douglas-dc-9-51;https://www.planespotters.net/photo/491499/oe-ldl-austrian-airlines-mcdonnell-douglas-dc-9-51;https://cdn.plnspttrs.net/14924/oe-ldl-austrian-airlines-mcdonnell-douglas-dc-9-51_PlanespottersNet_491499_0740248332_o.jpg;Erik Lukes;OS_AUA;Wahr;;;FALSCH;;AUA;29
OS019;JC Wings;OS;Austrian;Tyrolean Airways;FOK-F70;Fokker 70;OE-LFG;AUA-2003-STARALLIANCE-LOGOSTRIP;AUA-2003-STARALLIANCE;I:Tyrolean Airways | L:Star Alliance;;Star Alliance;Tyrolean Airways;;;Kleinanzeigen Steffi;;49;6;;U:https://jjpostcards.com/de/ansichtskarten/18360-tyroleanstar-alliance-fokker-70.html;;https://jjpostcards.com/de/ansichtskarten/18360-tyroleanstar-alliance-fokker-70.html;0,85;https://www.planespotters.net/photo/1369982/oe-lfg-tyrolean-airways-fokker-70-f28-mark-0070;https://www.planespotters.net/photo/1369982/oe-lfg-tyrolean-airways-fokker-70-f28-mark-0070;https://cdn.plnspttrs.net/11267/oe-lfg-tyrolean-airways-fokker-70-f28-mark-0070_PlanespottersNet_1369982_704cb39b3f_o.jpg;Ton Jochems;VO_TYR;Wahr;2025-07-02;;FALSCH;;AUA;32
OS003;JC Wings;OS;Austrian;Austrian Arrows;FOK-F100;Fokker 100;OE-LVK;AUA-2008-FOOTBALL;AUA-2003-BLUEBELLY;I:Austrian Arrows | L:Fussballverbindet.at;;Fussballverbindet.at;Austrian Arrows;;;Willhaben;;30;;;I:OE-LVH;OE-LVH;;0,85;https://www.planespotters.net/photo/067309/oe-lvk-austrian-arrows-fokker-100-f28-mark-0100;https://www.planespotters.net/photo/067309/oe-lvk-austrian-arrows-fokker-100-f28-mark-0100;https://cdn.plnspttrs.net/23409/oe-lvk-austrian-arrows-fokker-100-f28-mark-0100_PlanespottersNet_067309_5a96cca074_o.jpg;AustrianAviationArt;OS_ARR;Wahr;;;FALSCH;;AUA;33
WIS-OS-34;Gemini Jets;OS;Austrian;Austrian;FOK-F100;Fokker 100;OE-LVE;;;L:Austrian says goodbye Fokker 1988-2017;;Austrian says goodbye Fokker 1988-2017;;;;MW-Moba;https://mw-moba.de/Produkt/fokker-100-austrian-austrian-says-goodbye-oe-lve-gemini-jets-gjaua1740-1400/;44,5;;;;;;;https://www.jetphotos.com/photo/9201520;https://www.jetphotos.com/photo/9201520;https://cdn.jetphotos.com/full/6/61945_1547293789.jpg;Chris Jilli;OS_AUA;Falsch;;;WAHR;1;AUA;34
OS012;Aeroclassics;OS;Austrian;Austrian;HAW-HS748;Hawker-Siddeley HS-748;OE-LHT;AUA-1960-CLASSIC;;N:A. Bruckner;A. Bruckner;;;;;Ebay aerosmith102;;105,89;;;U:https://jjpostcards.com/de/ansichtskarten/8685-austrian-hs-748.html;;https://jjpostcards.com/de/ansichtskarten/8685-austrian-hs-748.html;0,85;https://www.planespotters.net/photo/990494/oe-lht-austrian-airlines-hawker-siddeley-hs-748;https://www.planespotters.net/photo/990494/oe-lht-austrian-airlines-hawker-siddeley-hs-748;https://cdn.plnspttrs.net/17845/oe-lht-austrian-airlines-hawker-siddeley-hs-748_PlanespottersNet_990494_ac6a1642f1_o.jpg;Peter Scharkowski;OS_AUA;Wahr;;;FALSCH;;AUA;35
OS006;Aeroclassics;OS;Austrian;Austrian;SUD-Caravelle-VIR;Sud Aviation SE 210 Caravelle VI-R;OE-LCA;AUA-1960-CLASSIC;;N:Wien;Wien;;;;;Ebay nozaman;;110,58;;;U:https://jjpostcards.com/de/ansichtskarten/25888-austrian-caravelle.html;;https://jjpostcards.com/de/ansichtskarten/25888-austrian-caravelle.html;1,35;https://www.planespotters.net/photo/768976/oe-lca-austrian-airlines-sud-aviation-se-210-caravelle-vi-r;https://www.planespotters.net/photo/768976/oe-lca-austrian-airlines-sud-aviation-se-210-caravelle-vi-r;https://cdn.plnspttrs.net/31661/oe-lca-austrian-airlines-sud-aviation-se-210-caravelle-vi-r_PlanespottersNet_768976_80a5578701_o.jpg;Peter Scharkowski;OS_AUA;Wahr;;;FALSCH;;AUA;38
ORD-OS-40;Aeroclassics;OS;Austrian;Austrian;VIC-Viscount-700;Vickers Viscount 745;OE-LAN;AUA-1959-CHEATLINE;;;;;;;;Aviationmegastore;https://www.aviationmegastore.com/de/modelle/vickers-viscount-700-austrian-airlines-oe-lan-aero-classics-ac411457-219290.html;49,54;;;;;;;https://commons.wikimedia.org/wiki/Category:OE-LAN_(Vickers_Viscount)?uselang=de#/media/File:Austrian_Vickers_Viscount.jpg;https://commons.wikimedia.org/wiki/Category:OE-LAN_(Vickers_Viscount)?uselang=de#/media/File:Austrian_Vickers_Viscount.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Austrian_Vickers_Viscount.jpg/1280px-Austrian_Vickers_Viscount.jpg;;OS_AUA;Falsch;;2026-04-15;FALSCH;;AUA;40
OS020;Aeroclassics;OS;Austrian;Austrian;VIC-Viscount-800;Vickers Viscount 837;OE-LAM;AUA-1959-CHEATLINE;;N:Ludwig v. Beethoven;Ludwig v. Beethoven;;;;;Aviationmegastore;https://www.aviationmegastore.com/de/modelle/vickers-viscount-800-austrian-oe-lam-aero-classics-ac411459-217204.html;49,54;13,49;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/28570-austrian-viscount.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/28570-austrian-viscount.html;1,35;https://abpic.co.uk/pictures/registration/OE-LAM;https://abpic.co.uk/pictures/registration/OE-LAM;;;OS_AUA;Wahr;2026-01-16;;FALSCH;;AUA;42
LH009;Herpa Wings;LH;Lufthansa;Lufthansa;AIB-A300-B2;Airbus A300B2;D-AIAA;;;N:Garmisch-Patenkirchen;Garmisch-Patenkirchen;;;;;Kleinanzeigen Josef Voß;;17;5;;U:https://jjpostcards.com/de/ansichtskarten/22280-lufthansa-a300.html;;https://jjpostcards.com/de/ansichtskarten/22280-lufthansa-a300.html;0,85;https://www.airhistory.net/photo/575352/D-AIAA;https://www.airhistory.net/photo/575352/D-AIAA;;;LH_DLH;Wahr;;;FALSCH;;Lufthansa;5
WIS-LH-6;;LH;Lufthansa;Lufthansa;AIB-A300-B4;Airbus A300B4;D-AIBA;;;;;;;;;;;59,45;;;U:https://jjpostcards.com/de/ansichtskarten/10733-lufthansa-a300.html;;https://jjpostcards.com/de/ansichtskarten/10733-lufthansa-a300.html;1,35;https://www.planespotters.net/photo/780943/d-aiba-lufthansa-airbus-a300b4-2c;https://www.planespotters.net/photo/780943/d-aiba-lufthansa-airbus-a300b4-2c;;;LH_DLH;Falsch;;;WAHR;2;Lufthansa;6
ORD-LH-7;JC Wings;LH;Lufthansa;Lufthansa;AIB-A300-600;Airbus A300-600;D-AIAZ;;;;;;;;;Aviationmegastore;https://www.aviationmegastore.com/de/modelle/airbus-a300-600r-lufthansa-d-aiaz-jc-wings-xx40435-212494.html;46,56;;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/15351-lufthansa-a300.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/15351-lufthansa-a300.html;1,35;https://www.planespotters.net/photo/086416/d-aiaz-lufthansa-airbus-a300b4-605r;https://www.planespotters.net/photo/086416/d-aiaz-lufthansa-airbus-a300b4-605r;https://cdn.plnspttrs.net/07139/d-aiaz-lufthansa-airbus-a300b4-605r_PlanespottersNet_086416_ac8b0c243f_o.jpg;Nigel Garrigan;LH_DLH;Falsch;;2026-04-15;FALSCH;;Lufthansa;7
WIS-LH-8;;LH;Lufthansa;Lufthansa;AIB-A310-200;Airbus A310-200;D-AICA;;;;;;;;;https://www.aviationmegastore.com/de/modelle/airbus-a310-200-lufthansa-d-aica-aero-classics-ac411204-209262.html;https://www.aviationmegastore.com/de/modelle/airbus-a310-200-lufthansa-d-aica-aero-classics-ac411204-209262.html;59,45;;;;;;;;;;;LH_DLH;Falsch;;;WAHR;2;Lufthansa;8
WIS-LH-11;JC Wings;LH;Lufthansa;Lufthansa;AIB-A320-200;Airbus A320-200;D-AIQS;;;L:Star Alliance | I:White;;Star Alliance;White;;;MW-Moba;https://mw-moba.de/Produkt/airbus-a320-lufthansa-star-alliance-white-d-aiqs-jc-wings-xx4075-1400/;39,5;;;;;;;;;;;LH_DLH;Falsch;;;WAHR;2;Lufthansa;11
LH001;Phoenix;LH;Lufthansa;Lufthansa;AIB-A320-200-SL;Airbus A320-200 (Sharklets);D-AIZP;;;N:Plauen;Plauen;;;;;Australian Aviation Center;https://www.aviation-center.com.au/index.html;54,97;;x;I:Kennung vom Eigenflug | U:https://jjpostcards.com/de/ansichtskarten/34462-Lufthansa-A320.html;Kennung vom Eigenflug;https://jjpostcards.com/de/ansichtskarten/34462-Lufthansa-A320.html;1,35;https://www.planespotters.net/photo/1313542/d-aizp-lufthansa-airbus-a320-214-wl;https://www.planespotters.net/photo/1313542/d-aizp-lufthansa-airbus-a320-214-wl;;;LH_DLH;Wahr;;;FALSCH;;Lufthansa;12
WIS-LH-13;Panda Model;LH;Lufthansa;Lufthansa;AIB-A320-neo;Airbus A320neo;D-AINK;;;N:Heidenheim an der Brenz;Heidenheim an der Brenz;;;;;MW-Moba;https://mw-moba.de/Produkt/airbus-a320neo-lufthansa-d-aink-panda-model-pmd-aink-1400/;39,5;;;;;;;https://www.planespotters.net/photo/1078507/d-aink-lufthansa-airbus-a320-271n;https://www.planespotters.net/photo/1078507/d-aink-lufthansa-airbus-a320-271n;;;LH_DLH;Falsch;;;WAHR;2;Lufthansa;13
LH011;Herpa Wings;LH;Lufthansa;Lufthansa;AIB-A321-100;Airbus A321-100;D-AIRX;;;L:Retro-Bemalung 50 J. LH;;Retro-Bemalung 50 J. LH;;;;MW-MOBA;;34,5;1,62;x;U:https://jjpostcards.com/de/ansichtskarten/4470-lufthansa-a321.html;;https://jjpostcards.com/de/ansichtskarten/4470-lufthansa-a321.html;1,05;https://www.planespotters.net/photo/479539/d-airx-lufthansa-airbus-a321-131;https://www.planespotters.net/photo/479539/d-airx-lufthansa-airbus-a321-131;;;LH_DLH;Wahr;2025-05-14;;FALSCH;;Lufthansa;14
LH028;Gemini Jets;LH;Lufthansa;Lufthansa;AIB-A321-neo;Airbus A321 neo;D-AIEQ;;;L:600th Airbus Aircraft;;600th Airbus Aircraft;;;;MW-Moba;https://mw-moba.de/Produkt/airbus-a320neo-lufthansa-d-aieq-gemini-jets-gjdlh2238-1400/;30;0,66;;;;;;https://www.planespotters.net/photo/1749659/d-aieq-lufthansa-airbus-a321-271nx;https://www.planespotters.net/photo/1749659/d-aieq-lufthansa-airbus-a321-271nx;https://cdn.plnspttrs.net/23465/d-aieq-lufthansa-airbus-a321-271nx_PlanespottersNet_1749659_65edfa751a_o.jpg;John Robert Murdoch;LH_DLH;Wahr;2025-12-06;;FALSCH;;Lufthansa;16
LH026;Phoenix;LH;Lufthansa;Lufthansa;AIB-A321-neo;Airbus A321 neo;D-AIEP;;;N:Augsburg;Augsburg;;;;;MW-Moba;https://mw-moba.de/Produkt/airbus-a321neo-lufthansa-d-aiep-phoenix-04541-1400/;39,5;0,97;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/36687-Lufthansa-A321neo.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/36687-Lufthansa-A321neo.html;1,35;https://www.planespotters.net/photo/1426175/d-aiep-lufthansa-airbus-a321-271nx;https://www.planespotters.net/photo/1426175/d-aiep-lufthansa-airbus-a321-271nx;https://cdn.plnspttrs.net/21334/d-aiep-lufthansa-airbus-a321-271nx_PlanespottersNet_1426175_f365783679_o.jpg;Sierra Aviation Photography;LH_DLH;Wahr;2025-11-12;;FALSCH;;Lufthansa;17
LH013;Gemini Jets;LH;Lufthansa;Lufthansa;AIB-A330-300;Airbus A330-300;D-AIKO;;;N:Koblenz;Koblenz;;;;;MW-MOBA;https://mw-moba.de/Produkt/airbus-a330-300-lufthansa-d-aiko-gemini-jets-gjdlh1831-1400/;44,5;4,25;;;;;;https://www.planespotters.net/photo/1343486/d-aiko-lufthansa-airbus-a330-343;https://www.planespotters.net/photo/1343486/d-aiko-lufthansa-airbus-a330-343;https://cdn.plnspttrs.net/25382/d-aiko-lufthansa-airbus-a330-343_PlanespottersNet_1343486_3e9a55305f_o.jpg;Paul Hüser;LH_DLH;Wahr;2025-06-20;;FALSCH;;Lufthansa;19
WIS-LH-20;Dragon Wings;LH;Lufthansa;Lufthansa;AIB-A340-200;Airbus A340-200;D-AIBA;;;N:Nürnberg;Nürnberg;;;;;;;;;;U:https://jjpostcards.com/de/ansichtskarten/4005-lufthansastar-alliance-a340.html;;https://jjpostcards.com/de/ansichtskarten/4005-lufthansastar-alliance-a340.html;0,85;https://www.planespotters.net/photo/803862/d-aiba-lufthansa-airbus-a340-211;https://www.planespotters.net/photo/803862/d-aiba-lufthansa-airbus-a340-211;https://cdn.plnspttrs.net/32416/d-aiba-lufthansa-airbus-a340-211_PlanespottersNet_803862_08373e4318_o.jpg;Ralf Drews;LH_DLH;Falsch;;;WAHR;2;Lufthansa;20
LH014;Herpa Wings;LH;Lufthansa;Lufthansa;AIB-A340-300;Airbus A340-300;D-AIGF;;;N:Göttingen;Göttingen;;;;;Kleinanzeigen Josef Voß;;15;2,21;;U:https://jjpostcards.com/de/ansichtskarten/22695-lufthansa-a340.html;;https://jjpostcards.com/de/ansichtskarten/22695-lufthansa-a340.html;0,85;https://www.planespotters.net/photo/327157/d-aigf-lufthansa-airbus-a340-311;https://www.planespotters.net/photo/327157/d-aigf-lufthansa-airbus-a340-311;https://cdn.plnspttrs.net/29574/d-aigf-lufthansa-airbus-a340-311_PlanespottersNet_327157_7aeff15e0a_o.jpg;Krzysztof Kaczala;LH_DLH;Wahr;2025-06-23;;FALSCH;;Lufthansa;21
LH019;Gemini Jets;LH;Lufthansa;Lufthansa;AIB-A340-600;Airbus A340-600;D-AIHN;;;N:Gummersbach L:Fanhansa;Gummersbach L:Fanhansa;;;;;MW-MOBA;https://mw-moba.de/Produkt/airbus-a340-600-lufthansa-gummersbach-d-aihn-gemini-jets-gjdlh1318-1400/;54,5;1,42;;U:https://jjpostcards.com/de/ansichtskarten/28198-lufthansa-a340.html;;https://jjpostcards.com/de/ansichtskarten/28198-lufthansa-a340.html;1,35;https://www.planespotters.net/photo/469445/d-aihn-lufthansa-airbus-a340-642;https://www.planespotters.net/photo/469445/d-aihn-lufthansa-airbus-a340-642;https://cdn.plnspttrs.net/11898/d-aihn-lufthansa-airbus-a340-642_PlanespottersNet_469445_c4fa048307_o.jpg;LIWEIHAO;LH_DLH;Wahr;2025-08-20;;FALSCH;;Lufthansa;22
